message,label
Let's meet for coffee this weekend.,0
Exclusive offer for you! Click now to get an iPhone 14 for free.,1
Happy birthday! Wishing you a great year ahead.,0
Alert! Someone tried to access your account from a new device.,1
"Hey, how are you doing today?",0
Alert! Someone tried to access your account from a new device.,1
Happy birthday! Wishing you a great year ahead.,0
Exclusive offer for you! Click now to get an iPhone 14 for free.,1
Let's meet for coffee this weekend.,0
Final warning: Your social media account is being hacked.,1
Your package has been shipped and will arrive soon.,0
"Dear customer, your debit card is blocked. Confirm your details now.",1
Can you help me with my project?,0
Congratulations! You've won a $1000 gift card. Claim now.,1
Reminder: Your doctor's appointment is tomorrow at 10 AM.,0
Congratulations! You've won a $1000 gift card. Claim now.,1
"Hey, how are you doing today?",0
Alert! Someone tried to access your account from a new device.,1
Let me know if you need any help with the assignment.,0
"Dear customer, your debit card is blocked. Confirm your details now.",1
Reminder: Your doctor's appointment is tomorrow at 10 AM.,0
"Dear customer, your debit card is blocked. Confirm your details now.",1
Looking forward to our trip next month!,0
Your PayPal account has been restricted. Log in to restore access.,1
Your package has been shipped and will arrive soon.,0
Final warning: Your social media account is being hacked.,1
Your package has been shipped and will arrive soon.,0
"Dear customer, your debit card is blocked. Confirm your details now.",1
Happy birthday! Wishing you a great year ahead.,0
Urgent: Your bank account is at risk. Verify immediately.,1
Happy birthday! Wishing you a great year ahead.,0
You've received an unexpected refund. Click here to claim it.,1
"Hey, how are you doing today?",0
Security update required: Your system is outdated. Install now.,1
Can you help me with my project?,0
"Dear customer, your debit card is blocked. Confirm your details now.",1
Reminder: Your doctor's appointment is tomorrow at 10 AM.,0
Exclusive offer for you! Click now to get an iPhone 14 for free.,1
Don't forget to submit the report by Monday.,0
Alert! Someone tried to access your account from a new device.,1
Don't forget to submit the report by Monday.,0
Alert! Someone tried to access your account from a new device.,1
Looking forward to our trip next month!,0
"Dear customer, your debit card is blocked. Confirm your details now.",1
Can you help me with my project?,0
Alert! Someone tried to access your account from a new device.,1
Let's meet for coffee this weekend.,0
Your account has been compromised. Click here to reset your password.,1
Looking forward to our trip next month!,0
Your account has been compromised. Click here to reset your password.,1
Reminder: Your doctor's appointment is tomorrow at 10 AM.,0
Final warning: Your social media account is being hacked.,1
Happy birthday! Wishing you a great year ahead.,0
"Dear customer, your debit card is blocked. Confirm your details now.",1
"Hey, how are you doing today?",0
Your PayPal account has been restricted. Log in to restore access.,1
Let's meet for coffee this weekend.,0
Security update required: Your system is outdated. Install now.,1
Let's meet for coffee this weekend.,0
"Dear customer, your debit card is blocked. Confirm your details now.",1
Reminder: Your doctor's appointment is tomorrow at 10 AM.,0
Urgent: Your bank account is at risk. Verify immediately.,1
Reminder: Your doctor's appointment is tomorrow at 10 AM.,0
"Dear customer, your debit card is blocked. Confirm your details now.",1
Reminder: Your doctor's appointment is tomorrow at 10 AM.,0
Your account has been compromised. Click here to reset your password.,1
Great job on the presentation today.,0
Your PayPal account has been restricted. Log in to restore access.,1
Great job on the presentation today.,0
Urgent: Your bank account is at risk. Verify immediately.,1
Don't forget to submit the report by Monday.,0
Final warning: Your social media account is being hacked.,1
Let me know if you need any help with the assignment.,0
"Dear customer, your debit card is blocked. Confirm your details now.",1
Great job on the presentation today.,0
Congratulations! You've won a $1000 gift card. Claim now.,1
Your package has been shipped and will arrive soon.,0
Security update required: Your system is outdated. Install now.,1
Don't forget to submit the report by Monday.,0
Urgent: Your bank account is at risk. Verify immediately.,1
Great job on the presentation today.,0
Your account has been compromised. Click here to reset your password.,1
Let's meet for coffee this weekend.,0
"Dear customer, your debit card is blocked. Confirm your details now.",1
Let's meet for coffee this weekend.,0
You've received an unexpected refund. Click here to claim it.,1
"Hey, how are you doing today?",0
Final warning: Your social media account is being hacked.,1
Let me know if you need any help with the assignment.,0
Security update required: Your system is outdated. Install now.,1
Your package has been shipped and will arrive soon.,0
Your PayPal account has been restricted. Log in to restore access.,1
Don't forget to submit the report by Monday.,0
You've received an unexpected refund. Click here to claim it.,1
Looking forward to our trip next month!,0
Congratulations! You've won a $1000 gift card. Claim now.,1
Let me know if you need any help with the assignment.,0
Alert! Someone tried to access your account from a new device.,1
Let's meet for coffee this weekend.,0
Urgent: Your bank account is at risk. Verify immediately.,1
Let me know if you need any help with the assignment.,0
Final warning: Your social media account is being hacked.,1
Happy birthday! Wishing you a great year ahead.,0
Alert! Someone tried to access your account from a new device.,1
Looking forward to our trip next month!,0
Security update required: Your system is outdated. Install now.,1
"Hey, how are you doing today?",0
Exclusive offer for you! Click now to get an iPhone 14 for free.,1
Your package has been shipped and will arrive soon.,0
Exclusive offer for you! Click now to get an iPhone 14 for free.,1
Your package has been shipped and will arrive soon.,0
Alert! Someone tried to access your account from a new device.,1
Let's meet for coffee this weekend.,0
Exclusive offer for you! Click now to get an iPhone 14 for free.,1
Your package has been shipped and will arrive soon.,0
